ptime,start_code,end_code,spec_datetime,spec_type
2021-12-12 22:47:36.960000,1040096,1040191,2021-12-12 21:36:00,0
2021-12-12 22:47:36.960000,1040096,1040191,2021-12-12 21:36:00,0
2021-12-18 13:41:56.760000,1040241,1100011,2021-12-18 10:03:00,0
2021-12-18 13:41:56.760000,1040241,1100011,2021-12-18 10:03:00,0
2021-12-18 13:41:56.760000,1040241,1100011,2021-12-18 10:03:00,0
2021-12-18 12:54:14.280000,9090050,1800131,2021-12-18 10:37:00,0
2021-12-18 12:54:14.280000,9090050,1800131,2021-12-18 10:37:00,0
2021-12-18 12:58:59.880000,1800131,9090050,2021-12-18 10:39:00,0
2021-12-18 12:58:59.880000,1800131,9090050,2021-12-18 10:39:00,0
2021-12-18 12:58:59.880000,1800131,9090050,2021-12-18 10:39:00,0
2021-12-18 17:11:08.640000,1040331,1040241,2021-12-18 15:56:00,0
2021-12-18 17:11:08.640000,1040331,1040241,2021-12-18 15:56:00,0
2021-12-18 17:11:08.640000,1040331,1040241,2021-12-18 15:56:00,0
2021-12-20 09:08:11.790000,1800171,1010076,2021-12-20 05:29:00,0
2021-12-20 09:08:11.790000,1800171,1010076,2021-12-20 05:29:00,0
2021-12-25 16:59:32.520000,6008016,1040426,2021-12-25 09:52:00,0
2021-12-25 16:59:32.520000,6008016,1040426,2021-12-25 09:52:00,0
2021-12-25 16:59:32.520000,6008016,1040426,2021-12-25 09:52:00,0
2021-12-26 21:41:10.200000,1040191,1040161,2021-12-26 21:22:00,0
2021-12-27 11:33:51.150000,1040236,1420021,2021-12-27 09:29:00,0
2021-12-27 11:33:51.150000,1040236,1420021,2021-12-27 09:29:00,0
2021-12-27 11:33:51.150000,1040236,1420021,2021-12-27 09:29:00,0
2021-12-27 15:46:29.280000,9039011,1440096,2021-12-27 12:33:00,0
2021-12-28 21:45:40.920000,1040106,1040076,2021-12-28 21:25:00,0
2021-12-29 00:38:27.540000,1040136,1040361,2021-12-28 21:42:00,0
2021-12-29 00:38:27.540000,1040136,1040361,2021-12-28 21:42:00,0
2021-12-31 15:16:45.360000,1800081,1800006,2021-12-31 14:31:00,0
2022-01-01 12:15:21.240000,1040086,1040241,2022-01-01 10:09:00,0
2022-01-01 12:15:21.240000,1040086,1040241,2022-01-01 10:09:00,0
2022-01-01 12:15:21.240000,1040086,1040241,2022-01-01 10:09:00,0
2022-01-01 12:15:21.240000,1040086,1040241,2022-01-01 10:09:00,0
2022-01-01 12:17:49.080000,1040241,1040086,2022-01-01 10:13:00,0
2022-01-01 12:17:49.080000,1040241,1040086,2022-01-01 10:13:00,0
2022-01-01 12:17:49.080000,1040241,1040086,2022-01-01 10:13:00,0
2022-01-01 12:17:49.080000,1040241,1040086,2022-01-01 10:13:00,0
2022-01-01 12:17:49.080000,1040241,1040086,2022-01-01 10:13:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 12:18:49.080000,1040241,1040086,2022-01-01 10:14:00,0
2022-01-01 13:13:25.500000,1800131,1800156,2022-01-01 12:51:00,0
2022-01-01 19:32:16.440000,6011016,1800131,2022-01-01 17:33:00,0
2022-01-01 19:32:16.440000,6011016,1800131,2022-01-01 17:33:00,0
2022-01-01 19:32:16.440000,6011016,1800131,2022-01-01 17:33:00,0
2022-01-01 19:32:16.440000,6011016,1800131,2022-01-01 17:33:00,0
2022-01-02 20:06:56.130000,1100031,1810111,2022-01-02 17:07:00,0
2022-01-02 20:06:56.130000,1100031,1810111,2022-01-02 17:07:00,0
2022-01-02 20:06:56.130000,1100031,1810111,2022-01-02 17:07:00,0
2022-01-02 20:06:56.130000,1100031,1810111,2022-01-02 17:07:00,0
2022-01-03 01:03:18.180000,1080221,6026081,2022-01-02 20:54:00,0
2022-01-03 01:03:18.180000,1080221,6026081,2022-01-02 20:54:00,0
2022-01-03 01:03:18.180000,1080221,6026081,2022-01-02 20:54:00,0
2022-01-03 04:51:59.610000,1410026,6016041,2022-01-02 21:59:00,0
2022-01-03 04:51:59.610000,1410026,6016041,2022-01-02 21:59:00,0
2022-01-03 04:51:59.610000,1410026,6016041,2022-01-02 21:59:00,0
2022-01-03 04:51:59.610000,1410026,6016041,2022-01-02 21:59:00,0
2022-01-03 13:19:35.880000,1421001,1040456,2022-01-03 11:12:00,0
2022-01-03 13:19:35.880000,1421001,1040456,2022-01-03 11:12:00,0
2022-01-03 13:19:35.880000,1421001,1040456,2022-01-03 11:12:00,0
2022-01-04 00:07:37.980000,1810066,1800001,2022-01-03 22:16:00,0
2022-01-07 17:44:28.650000,1400156,1810101,2022-01-07 13:16:00,0
2022-01-07 17:44:28.650000,1400156,1810101,2022-01-07 13:16:00,0
2022-01-07 17:44:28.650000,1400156,1810101,2022-01-07 13:16:00,0
2022-01-10 12:55:54.180000,1040361,1040456,2022-01-10 11:04:00,0
2022-01-10 12:55:54.180000,1040361,1040456,2022-01-10 11:04:00,0
2022-01-12 00:13:33.840000,1040456,1040446,2022-01-12 00:13:00,0
2022-01-12 00:13:33.840000,1040456,1040446,2022-01-12 00:13:00,0
2022-01-12 16:34:26.640000,1040401,1040361,2022-01-12 16:01:00,0
2022-01-12 16:34:26.640000,1040401,1040361,2022-01-12 16:01:00,0
2022-01-20 11:18:21.810000,1040246,1100086,2022-01-20 06:56:00,0
2022-01-30 01:18:47.190000,1100016,1080306,2022-01-29 21:59:00,0
2022-01-30 01:18:47.190000,1100016,1080306,2022-01-29 21:59:00,0
2022-01-30 01:18:47.190000,1100016,1080306,2022-01-29 21:59:00,0
2022-01-30 01:25:47.190000,1100016,1080306,2022-01-29 22:06:00,0
2022-01-30 01:25:47.190000,1100016,1080306,2022-01-29 22:06:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-11 21:33:45.840000,1040181,1040241,2022-02-11 20:44:00,0
2022-02-15 02:38:35.490000,1040236,1101031,2022-02-14 22:10:00,0
2022-02-15 02:38:35.490000,1040236,1101031,2022-02-14 22:10:00,0
2022-02-15 02:36:32.070000,1101006,1040236,2022-02-14 22:23:00,0
2022-02-15 02:36:32.070000,1101006,1040236,2022-02-14 22:23:00,0
2022-02-18 06:22:09.270000,1430026,1040011,2022-02-18 02:52:00,0
2022-02-18 06:22:09.270000,1430026,1040011,2022-02-18 02:52:00,0
2022-02-18 06:22:09.270000,1430026,1040011,2022-02-18 02:52:00,0
2022-02-18 06:22:09.270000,1430026,1040011,2022-02-18 02:52:00,0
2022-02-18 06:22:09.270000,1430026,1040011,2022-02-18 02:52:00,0
2022-02-18 22:01:18.570000,9039011,1430051,2022-02-18 20:21:00,0
2022-02-18 22:01:18.570000,9039011,1430051,2022-02-18 20:21:00,0
2022-02-18 22:01:18.570000,9039011,1430051,2022-02-18 20:21:00,0
2022-02-18 22:01:18.570000,9039011,1430051,2022-02-18 20:21:00,0
2022-02-18 22:01:18.570000,9039011,1430051,2022-02-18 20:21:00,0
2022-02-18 22:04:18.570000,9039011,1430051,2022-02-18 20:24:00,0
2022-02-18 22:04:18.570000,9039011,1430051,2022-02-18 20:24:00,0
2022-02-18 22:04:18.570000,9039011,1430051,2022-02-18 20:24:00,0
